id,date,state_name,state_code,office_name,office_code,type,category,registrations
174514,01-03-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,459
174522,01-05-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,476
174531,01-11-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,504
174539,01-10-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,456
174548,01-09-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,427
174557,01-01-2024,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,454
176061,01-04-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,3
176069,01-08-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,4
176076,01-12-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,4
176084,01-02-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,2
176092,01-01-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,1
176098,01-07-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,2
176106,01-06-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,5
176113,01-03-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,4
176121,01-05-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,6
176129,01-11-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,6
176137,01-10-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,2
176145,01-09-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,10
178818,01-04-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,1
178827,01-08-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,4
178835,01-12-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,8
178843,01-02-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,7
178851,01-01-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,3
178859,01-07-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,3
178868,01-06-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,4
178877,01-03-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,4
178886,01-05-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,4
178895,01-11-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,16
178904,01-10-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,2
178913,01-09-2023,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,3
178922,01-01-2024,Karnataka,29,Devanahalli Arto,KA43,Cng Only,Fuel,6
180013,01-04-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,30
180022,01-08-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,38
180030,01-12-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,32
180039,01-02-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,46
180048,01-01-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,33
180055,01-07-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,49
180063,01-06-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,49
